place,emissions_pathway,year,slr_p17_cm,slr_p50_cm,slr_p83_cm
Marshall Islands,Higher,2020,3.9,6.4,9.1
Marshall Islands,Higher,2030,8.9,12.3,16.5
Marshall Islands,Higher,2040,14.4,19.1,25.4
Marshall Islands,Higher,2050,21.6,27.5,36.0
Marshall Islands,Higher,2060,29.0,36.4,48.1
Marshall Islands,Higher,2070,37.5,47.4,63.1
Marshall Islands,Higher,2080,46.7,59.6,80.2
Marshall Islands,Higher,2090,57.9,73.8,99.8
Marshall Islands,Higher,2100,68.8,90.4,123.6
Palau,Lower,2020,1.5,5.1,8.9
Palau,Lower,2030,4.2,9.2,14.9
Palau,Lower,2040,8.1,13.8,20.8
Palau,Lower,2050,13.5,19.8,28.0
Palau,Lower,2060,17.0,25.0,35.8
Palau,Lower,2070,21.9,31.4,44.5
Palau,Lower,2080,26.2,37.0,52.9
Palau,Lower,2090,30.0,42.6,61.5
Palau,Lower,2100,30.8,50.4,75.2
Palau,Middle,2020,2.4,5.4,8.6
Palau,Middle,2030,6.0,9.5,13.7
Palau,Middle,2040,9.7,14.5,20.5
Palau,Middle,2050,14.9,21.2,29.7
Palau,Middle,2060,19.6,27.2,38.0
Palau,Middle,2070,25.6,35.4,49.4
Palau,Middle,2080,31.4,43.4,60.9
Palau,Middle,2090,36.8,51.5,73.3
Palau,Middle,2100,41.4,60.3,86.8
Palau,Higher,2020,2.8,4.8,7.1
Palau,Higher,2030,6.9,10.3,14.5
Palau,Higher,2040,11.2,16.5,23.3
Palau,Higher,2050,17.8,24.1,32.7
Palau,Higher,2060,24.4,32.3,43.9
Palau,Higher,2070,31.5,42.2,58.2
Palau,Higher,2080,39.6,53.4,74.0
Palau,Higher,2090,50.0,66.3,91.7
Palau,Higher,2100,60.6,83.0,115.7
Micronesia,Lower,2020,3.4,5.9,8.7
Micronesia,Lower,2030,7.1,10.6,14.9
Micronesia,Lower,2040,11.6,16.2,22.1
Micronesia,Lower,2050,17.1,22.8,30.8
Micronesia,Lower,2060,21.6,28.6,38.8
Micronesia,Lower,2070,27.1,35.4,48.1
Micronesia,Lower,2080,31.3,41.8,57.9
Micronesia,Lower,2090,35.8,48.2,67.4
Micronesia,Lower,2100,38.7,56.1,79.6
Micronesia,Middle,2020,3.6,5.9,8.5
Micronesia,Middle,2030,7.7,10.9,14.8
Micronesia,Middle,2040,12.3,16.5,22.2
Micronesia,Middle,2050,18.6,24.0,31.8
Micronesia,Middle,2060,23.9,30.8,41.2
Micronesia,Middle,2070,30.5,39.3,53.2
Micronesia,Middle,2080,37.2,48.2,65.4
Micronesia,Middle,2090,43.5,57.0,78.5
Micronesia,Middle,2100,48.0,66.2,92.9
Micronesia,Higher,2020,3.5,6.0,8.8
Micronesia,Higher,2030,8.7,12.0,16.1
Micronesia,Higher,2040,14.2,18.6,24.7
Micronesia,Higher,2050,21.0,26.9,35.4
Micronesia,Higher,2060,28.6,35.8,47.2
Micronesia,Higher,2070,36.9,46.5,61.9
Micronesia,Higher,2080,46.0,58.7,78.9
Micronesia,Higher,2090,56.8,72.5,98.0
Micronesia,Higher,2100,68.4,89.3,121.8
Solomon Islands,Lower,2020,0.6,4.5,8.6
Solomon Islands,Lower,2030,2.9,8.0,13.8
Solomon Islands,Lower,2040,6.8,12.3,19.1
Solomon Islands,Lower,2050,11.0,17.6,26.1
Solomon Islands,Lower,2060,13.5,21.8,32.8
Solomon Islands,Lower,2070,17.4,27.4,41.0
Solomon Islands,Lower,2080,20.9,32.7,49.2
Solomon Islands,Lower,2090,24.0,37.8,57.3
Solomon Islands,Lower,2100,21.8,44.4,71.7
Solomon Islands,Middle,2020,0.5,4.4,8.5
Solomon Islands,Middle,2030,2.9,8.2,14.1
Solomon Islands,Middle,2040,6.5,13.0,20.5
Solomon Islands,Middle,2050,12.1,19.1,28.0
Solomon Islands,Middle,2060,16.1,24.4,35.7
Solomon Islands,Middle,2070,20.9,31.6,46.4
Solomon Islands,Middle,2080,26.4,39.0,56.9
Solomon Islands,Middle,2090,30.9,46.2,68.6
Solomon Islands,Middle,2100,35.5,54.7,81.7
Solomon Islands,Higher,2020,1.6,4.6,7.9
Solomon Islands,Higher,2030,5.3,9.2,13.7
Solomon Islands,Higher,2040,9.0,13.9,20.3
Solomon Islands,Higher,2050,13.7,21.2,30.9
Solomon Islands,Higher,2060,19.4,28.8,41.6
Solomon Islands,Higher,2070,26.3,38.0,54.6
Solomon Islands,Higher,2080,32.9,48.2,69.8
Solomon Islands,Higher,2090,42.4,61.1,88.2
Solomon Islands,Higher,2100,48.0,76.4,113.1
Nauru,Lower,2020,3.2,5.4,7.9
Nauru,Lower,2030,6.5,9.6,13.5
Nauru,Lower,2040,10.2,14.4,20.0
Nauru,Lower,2050,15.1,20.6,28.4
Nauru,Lower,2060,18.8,25.6,35.7
Nauru,Lower,2070,23.7,32.4,45.3
Nauru,Lower,2080,27.6,38.7,54.9
Nauru,Lower,2090,31.3,44.4,63.8
Nauru,Lower,2100,32.3,50.6,74.7
Nauru,Middle,2020,3.2,5.1,7.3
Nauru,Middle,2030,6.8,9.7,13.4
Nauru,Middle,2040,10.8,15.0,20.7
Nauru,Middle,2050,16.4,22.2,30.2
Nauru,Middle,2060,21.3,28.6,39.2
Nauru,Middle,2070,27.2,36.3,50.4
Nauru,Middle,2080,33.2,44.8,62.3
Nauru,Middle,2090,39.0,53.2,74.9
Nauru,Middle,2100,45.0,62.2,88.2
Nauru,Higher,2020,4.0,5.8,8.0
Nauru,Higher,2030,7.8,10.8,14.7
Nauru,Higher,2040,12.2,16.6,22.6
Nauru,Higher,2050,18.5,24.6,33.1
Nauru,Higher,2060,25.2,33.0,44.8
Nauru,Higher,2070,33.0,43.4,59.3
Nauru,Higher,2080,41.4,54.8,75.3
Nauru,Higher,2090,52.2,68.4,94.2
Nauru,Higher,2100,58.8,82.3,116.4
Samoa,Lower,2020,3.3,7.6,12.2
Samoa,Lower,2030,8.4,13.6,19.4
Samoa,Lower,2040,14.0,19.8,26.7
Samoa,Lower,2050,20.0,26.9,35.8
Samoa,Lower,2060,24.3,32.8,44.1
Samoa,Lower,2070,31.0,40.4,53.5
Samoa,Lower,2080,36.8,47.6,63.4
Samoa,Lower,2090,41.7,54.3,73.1
Samoa,Lower,2100,43.4,60.7,83.8
Samoa,Middle,2020,3.7,7.8,12.1
Samoa,Middle,2030,9.0,13.8,19.1
Samoa,Middle,2040,14.5,20.2,26.9
Samoa,Middle,2050,21.7,28.4,36.9
Samoa,Middle,2060,27.5,35.6,46.7
Samoa,Middle,2070,34.1,44.3,58.5
Samoa,Middle,2080,41.1,53.8,71.6
Samoa,Middle,2090,48.5,63.3,85.1
Samoa,Middle,2100,56.1,74.4,100.7
Samoa,Higher,2020,4.5,8.0,11.6
Samoa,Higher,2030,10.6,14.6,19.1
Samoa,Higher,2040,16.0,21.6,28.6
Samoa,Higher,2050,23.2,31.2,41.1
Samoa,Higher,2060,31.3,40.6,53.2
Samoa,Higher,2070,40.4,52.0,68.4
Samoa,Higher,2080,50.1,64.4,85.1
Samoa,Higher,2090,62.3,79.4,105.4
Samoa,Higher,2100,74.2,96.1,128.6
Papua New Guinea,Lower,2020,2.7,5.1,7.9
Papua New Guinea,Lower,2030,5.8,9.2,13.3
Papua New Guinea,Lower,2040,9.2,13.8,19.6
Papua New Guinea,Lower,2050,14.1,19.8,27.5
Papua New Guinea,Lower,2060,17.5,24.5,34.5
Papua New Guinea,Lower,2070,22.1,30.9,43.5
Papua New Guinea,Lower,2080,26.0,36.8,52.8
Papua New Guinea,Lower,2090,29.4,42.4,61.5
Papua New Guinea,Lower,2100,30.4,48.9,72.9
Papua New Guinea,Middle,2020,2.8,5.0,7.4
Papua New Guinea,Middle,2030,6.2,9.3,13.2
Papua New Guinea,Middle,2040,10.0,14.4,20.2
Papua New Guinea,Middle,2050,15.5,21.2,29.0
Papua New Guinea,Middle,2060,20.0,27.2,37.7
Papua New Guinea,Middle,2070,25.7,34.9,48.7
Papua New Guinea,Middle,2080,31.3,42.8,60.0
Papua New Guinea,Middle,2090,36.8,50.8,72.0
Papua New Guinea,Middle,2100,42.2,60.0,86.1
Papua New Guinea,Higher,2020,3.2,5.2,7.6
Papua New Guinea,Higher,2030,7.3,10.3,14.2
Papua New Guinea,Higher,2040,11.5,15.9,21.8
Papua New Guinea,Higher,2050,17.2,23.4,31.9
Papua New Guinea,Higher,2060,23.8,31.4,43.0
Papua New Guinea,Higher,2070,31.4,41.4,56.7
Papua New Guinea,Higher,2080,39.4,52.4,72.3
Papua New Guinea,Higher,2090,49.6,65.4,90.4
Papua New Guinea,Higher,2100,59.0,80.8,113.4
